"show_id","pais_id"
"70304191","2"
"81176200","1"
"80238106","1"
"80208906","1"
"80097321","1"
"80106966","2"
"81004814","1"
"81080769","5"
"81080769","1"
"70267838","1"
"80211380","1"
"80196586","1"
"80099204","28"
"80059432","28"
"81172721","14"
"81172727","28"
"70153543","3"
"81095101","29"
"80195173","5"
"80195173","8"
"80195173","1"
"80241960","1"
"80115346","1"
"80124522","18"
"80102952","1"
"80214464","1"
"81020518","5"
"81020518","14"
"81020518","30"
"81020518","6"
"81020523","1"
"80216172","1"
"81122669","6"
"80184771","8"
"81000389","1"
"81132439","23"
"81035117","29"
"80244627","23"
"80150502","1"
"80150502","31"
"80150502","5"
"80189183","1"
"80997866","16"
"80119815","26"
"80993149","4"
"80224294","1"
"80143797","1"
"80161931","32"
"80161931","5"
"80161931","14"
"80161931","21"
"80128096","2"
"80057610","14"
"80057610","33"
"80057610","6"
"80057610","1"
"80057610","34"
"80017275","1"
"81107545","8"
"81107545","1"
"70118953","1"
"80190449","1"
"80163156","8"
"80163156","1"
"80163156","5"
"80176878","3"
"80131281","1"
"80131374","1"
"80131436","5"
"80131375","1"
"80149143","1"
"81144925","1"
"80987075","5"
"80192815","1"
"80136785","23"
"80135278","1"
"80136452","1"
"80066798","5"
"80066798","8"
"80066798","1"
"81147293","5"
"70178604","1"
"80991316","1"
"80190588","1"
"80190588","5"
"80190588","8"
"80190588","29"
"70124316","8"
"70124316","1"
"70229037","1"
"80219119","1"
"80037280","1"
"80165072","5"
"80058248","1"
"70307661","29"
"70307661","8"
"70307661","3"
"70117312","1"
"80092885","1"
"80108371","1"
"70129452","1"
"80045805","1"
"80101827","1"
"70251519","1"
"81174992","1"
"81044365","1"
"81030342","35"
"70143865","20"
"70054723","5"
"81069393","21"
"80012550","2"
"81131761","20"
"81176196","20"
"81003648","5"
"80241102","2"
"80227777","2"
"81016317","36"
"81016317","1"
"81016337","37"
"81018234","17"
"80241103","1"
"80241103","25"
"80240816","25"
"81018241","1"
"81018241","10"
"81018235","5"
"81018236","1"
"81018237","1"
"81018238","38"
"81016339","1"
"80067522","2"
"80192149","1"
"80142637","1"
"80192014","16"
"80168230","29"
"70290909","1"
"80126566","16"
"81093951","39"
"81093951","1"
"80238013","1"
"81089941","4"
"81000011","1"
"80243899","1"
"80217733","1"
"80220035","1"
"80225949","14"
"80999985","25"
"81002336","4"
"80188120","1"
"80164779","1"
"80993613","5"
"81092328","1"
"81183572","1"
"81037283","1"
"80244973","1"
"81095103","1"
"81132438","1"
"80217779","1"
"80211572","3"
"81161230","19"
"81002412","1"
"81023636","1"
"80217669","1"
"80192834","12"
"80198046","5"
"80106307","1"
"80106307","5"
"80993062","1"
"70267728","5"
"81001000","1"
"80192445","1"
"80158670","1"
"80158670","8"
"80223685","1"
"80189586","18"
"80189586","1"
"80244019","5"
"80244019","8"
"80244019","1"
"80162143","1"
"81060174","1"
"81060174","14"
"70130445","30"
"70130445","1"
"70130445","8"
"81001494","28"
"81077065","1"
"80991570","1"
"80184129","1"
"80184129","40"
"60000861","28"
"1151375","10"
"1151375","18"
"1151375","14"
"1151375","41"
"1151375","11"
"81137484","1"
"80187228","28"
"81031008","1"
"70099119","1"
"70039185","5"
"81073764","1"
"81165769","1"
"70056433","1"
"70113003","28"
"60031232","28"
"80032842","1"
"81137482","14"
"81137482","1"
"70043308","1"
"81165771","1"
"81165771","5"
"70044697","1"
"80241003","34"
"81141689","42"
"1008581","1"
"70058023","43"
"81165786","6"
"81165770","1"
"70043303","14"
"70043303","13"
"70136074","1"
"1153194","2"
"70112730","2"
"81154900","2"
"81154956","1"
"81158575","2"
"81158575","30"
"81158575","44"
"81065786","16"
"70087541","40"
"81004113","25"
"81003984","14"
"70024088","1"
"81005312","1"
"80082969","1"
"81019924","16"
"81018240","1"
"81013710","37"
"70077076","43"
"80102950","2"
"70055221","43"
"81005314","29"
