"show_id","direct_id"
"80203776","131"
"80143797","132"
"80161931","133"
"80017275","134"
"81107545","135"
"70118953","136"
"70118953","137"
"80190449","138"
"80190449","139"
"80163156","140"
"80149143","141"
"80987075","142"
"80192815","143"
"80066798","111"
"81147293","144"
"80991316","52"
"80190588","145"
"70124316","146"
"70229037","147"
"80037280","148"
"80058248","149"
"70307661","150"
"70117312","151"
"80092885","152"
"80108371","102"
"70129452","153"
"80045805","154"
"80045805","155"
"80101827","156"
"81030342","157"
"81131761","158"
"81016326","159"
"80227777","160"
"81018233","161"
"81016317","162"
"81016337","163"
"81018241","164"
"81018237","165"
"81018238","166"
"81016339","167"
"81016339","168"
"80067522","169"
"80192149","170"
"80142637","171"
"80192014","172"
"80192015","172"
"80168230","173"
"80202129","174"
"80088910","175"
"80088910","176"
"70290909","177"
"80033772","178"
"80033772","179"
"81093951","96"
"80238013","180"
"81089941","181"
"81000011","182"
"80217733","183"
"80999985","184"
"80999985","185"
"80999985","186"
"80999985","187"
"80188120","188"
"80164779","189"
"81092328","190"
"81183572","191"
"81037283","192"
"80244973","193"
"81161230","194"
"81002412","195"
"81023636","196"
"81023636","197"
"80198046","198"
"80106307","199"
"70267728","200"
"81001000","201"
"80192445","202"
"80158670","203"
"80162143","204"
"81060174","205"
"70130445","206"
"80216928","156"
"81001494","207"
"81001494","208"
"80184129","209"
"60000861","210"
"1151375","211"
"81137484","212"
"80187228","213"
"81031008","214"
"70099119","215"
"70039185","216"
"81165769","217"
"70056433","218"
"70113003","219"
"60031232","220"
"80032842","217"
"81137482","212"
"81137482","221"
"70043308","222"
"70043308","223"
"81165771","217"
"70044697","224"
"70105368","225"
"81141689","226"
"1008581","227"
"70058023","228"
"81165786","217"
"81165770","217"
"70043303","229"
"70136074","230"
"1153194","231"
"70112730","232"
"81158575","233"
"81065786","234"
"70087541","235"
"81004113","236"
"81003984","237"
"70024088","238"
"81005312","239"
"80082969","240"
"80994130","241"
"81019924","242"
"81013710","243"
"70077076","63"
"81014988","244"
"80102950","33"
"81005314","245"
"80242828","246"
"81004223","247"
"80198730","248"
"80999945","249"
"81016043","250"
"17672040","251"
"20254278","252"
"70276596","253"
"80063025","253"
"70068739","254"
"80184974","255"
