"show_id","tema_id"
"80181555","6"
"80081155","18"
"80184358","6"
"80184358","20"
"80184358","22"
"80198585","13"
"81011955","14"
"81011955","16"
"81011955","8"
"80128722","19"
"80128722","10"
"80182115","18"
"80163293","6"
"80163293","21"
"80163293","22"
"80104068","14"
"80104068","17"
"80119349","18"
"80119349","8"
"80199032","25"
"80199032","11"
"80199032","6"
"80180449","6"
"80180449","22"
"80019931","1"
"80019931","26"
"81053893","18"
"81053893","8"
"80200087","8"
"80200087","10"
"81053892","14"
"81053892","8"
"81002850","14"
"81002850","8"
"81004470","13"
"81004470","8"
"81004470","9"
"80157072","13"
"80157072","14"
"81001809","18"
"80201933","6"
"80201933","27"
"80201933","7"
"81002864","2"
"81002864","8"
"81002864","17"
"81016750","19"
"81016750","8"
"81002866","14"
"81002866","8"
"81002866","17"
"80992039","18"
"80992039","8"
"80126507","18"
"80225885","6"
"80225885","28"
"80225885","22"
"81132443","2"
"81132443","8"
"80218107","4"
"80218107","21"
"80231903","14"
"80231903","9"
"80231903","10"
"80220715","5"
"80220715","6"
"80220715","22"
"81171121","29"
"81171121","26"
"81171121","9"
"80241248","21"
"80241248","22"
"80241248","30"
"81012295","14"
"81012295","16"
"81012295","8"
"80060037","14"
"80060037","16"
"80060037","8"
"60003155","1"
"60003155","14"
"60003155","31"
"81177238","8"
"81177238","17"
"70270775","13"
"70270775","14"
"70270775","8"
"81025403","5"
"81025403","6"
"81025403","7"
"80215923","13"
"80151483","3"
"80173625","18"
"80005444","18"
"80244682","18"
"80244682","8"
"81075519","13"
"81075519","14"
"81075519","8"
"80166318","1"
"80166318","2"
"81186758","2"
"81186758","8"
"81186758","26"
"81186757","2"
"81186757","8"
"81186757","26"
"80108976","13"
"80208155","1"
"80198423","18"
"80162144","2"
"80162144","16"
"80162144","10"
"81053953","13"
"81074113","3"
"80992496","13"
"80992496","8"
"70304191","2"
"70304191","8"
"80103311","2"
"80103311","19"
"80103311","8"
"81176200","2"
"81176200","14"
"81176200","8"
"80238106","4"
"80238106","21"
"80208906","2"
"80208906","16"
"80208906","17"
"80097321","18"
"80106966","3"
"81004814","21"
"81004814","22"
"81080769","14"
"81080769","16"
"81080769","8"
"70267838","18"
"70267838","26"
"80211380","16"
"80211380","8"
"80211380","10"
"80196586","18"
"80196586","26"
"80099204","14"
"80099204","16"
"80099204","10"
"80059432","2"
"81172721","14"
"81172721","8"
"81172727","2"
"81172727","8"
"70153543","14"
"70153543","8"
"81172728","2"
"81172728","8"
"81172728","17"
"81095101","6"
"81095101","32"
"81095101","28"
"80195173","27"
"80195173","12"
"80195173","28"
"80241960","33"
"80241960","6"
"80115346","4"
"80124522","21"
"80124522","22"
"80124522","24"
"80102952","18"
"80102952","26"
"80214464","3"
"80157073","5"
"80157073","21"
"80157073","22"
"80243600","2"
"81020513","5"
"81020513","6"
"81020513","22"
"81020518","5"
"81020518","6"
"81020518","22"
"81020523","5"
"81020523","6"
"81020523","7"
"80216172","25"
"80216172","5"
"80216172","6"
"81122669","14"
"81122669","16"
"81122669","34"
"80184771","11"
"80184771","12"
"81000389","6"
"81000389","21"
"81000389","22"
"81035117","1"
"80244627","35"
"80244627","30"
"80150502","14"
"80150502","8"
"80189183","33"
"80189183","6"
"80997866","13"
"80997866","14"
"80997866","8"
"80119815","14"
"80119815","16"
"80993149","18"
"80224294","5"
"80224294","6"
"80224294","28"
"80203776","13"
"80203776","2"
"80203776","8"
"80143797","2"
"80143797","14"
"80143797","8"
"80161931","14"
"80161931","10"
"80128096","11"
"80057610","4"
"80017275","14"
"80017275","8"
"81107545","14"
"81107545","8"
"81107545","17"
"70118953","18"
"70118953","8"
"80190449","16"
"80190449","9"
"80190449","10"
"70259208","4"
"80163156","3"
"80176878","5"
"80176878","22"
"80176878","24"
"80131375","3"
"80149143","14"
"80149143","10"
"81144925","6"
